Date,Daily Average,Record High Daily Average,Year1,Record Low Daily Average,Year2,Average High,Lowest High,Year3,Record High,Year4,Average Low,Highest Low,Year5,Record Low,Year6,Years
01-Jan,72.1,80.4,2022,66.3,2001,73.4,69.1,2001,81.1,2022,70.9,79.9,2022,63.9,2001,24
02-Jan,72,80.2,2022,67,2001,73.4,69.3,1998,81,2022,70.8,79.5,2022,64.4,2001,24
03-Jan,71.9,80,2022,67.7,2001,73.3,69.8,1998,80.2,2022,70.7,79.7,2022,65.5,2001,24
04-Jan,71.9,78.7,2022,67.1,2010,73.2,70,2012,79.7,2022,70.6,77.9,2022,64.8,2002,24
05-Jan,71.8,78.1,2022,65.7,2001,73.1,68.5,2001,78.6,2022,70.6,77.4,2022,63.7,2010,25
06-Jan,71.7,77.9,2022,64.7,2001,73.1,66.2,2001,78.4,2022,70.5,76.6,2022,61.9,2010,24
07-Jan,71.7,78.5,2022,65,2010,73,67.1,2002,79.5,2022,70.4,77.2,2022,61.8,2010,23
08-Jan,71.6,78.7,2022,64.8,2010,73,67.5,2011,79.3,2022,70.4,77.9,2022,62.5,2010,24
09-Jan,71.5,78.3,2022,64.5,2010,72.9,66.6,1996,79,2022,70.3,77.5,2022,60.9,2010,24
10-Jan,71.5,78.2,2022,64.5,1996,72.9,67.3,1996,79.2,2022,70.3,77.2,2022,61.3,2010,23
11-Jan,71.5,78.2,2022,64.3,2010,72.8,68,2010,79,2022,70.2,77.5,2022,61,2010,23
12-Jan,71.4,77.1,2022,65.3,2010,72.8,68.9,2001,77.9,2022,70.2,76.6,2022,62.3,2010,23
13-Jan,71.4,76.6,2022,65.2,2010,72.8,68,1996,77.5,2022,70.1,75.9,2022,62.5,2010,23
14-Jan,71.3,75.9,2020,66,1996,72.7,68.7,1996,76.5,2022,70.1,75,2020,62.3,2010,23
15-Jan,71.3,75.8,2020,66.3,2011,72.7,68.7,2011,76.3,2022,70.1,75,2020,63.9,2010,25
16-Jan,71.3,75.8,2020,67.2,2012,72.7,68.9,2012,76.3,2020,70.1,75,2020,65.1,2010,24
17-Jan,71.3,75.7,2020,66.3,2012,72.7,67.3,2012,76.1,2020,70.1,75,2020,65.3,2012,23
18-Jan,71.3,74.1,2020,66.8,2012,72.6,68.2,2012,75.2,2019,70,73.4,2020,64,1997,23
19-Jan,71.3,73.7,2020,65.2,1997,72.6,67.1,2003,74.7,2020,70,72.9,2020,62.8,2003,25
20-Jan,71.3,74.6,2020,64.8,2003,72.6,66.9,2003,75.4,2020,70,73.9,2020,63,2003,24
21-Jan,71.3,74.8,1999,65.1,2003,72.6,67.5,2014,76.3,2022,70,74.3,1999,63,2003,23
22-Jan,71.3,76.3,2022,65.7,2003,72.6,67.8,2003,77.2,2022,70,75.4,2022,64,2003,23
23-Jan,71.3,76.3,2022,65.4,2001,72.6,66.7,2001,77.4,2022,70.1,74.8,2022,63.5,2001,22
24-Jan,71.3,75.1,2002,64.3,2003,72.6,66.7,2003,76.3,2002,70.1,74.1,2002,61.2,2003,21
25-Jan,71.3,75.8,2002,63.7,2003,72.7,66.2,2003,77,2002,70.1,74.7,2002,62.2,2003,22
26-Jan,71.3,76.3,2002,65.1,2001,72.7,67.5,2001,77.7,2002,70.1,75.2,2002,63,2003,22
27-Jan,71.4,76.9,2021,65.1,2005,72.7,66.2,2005,78.6,2021,70.2,75.9,2021,63.5,2000,22
28-Jan,71.4,76.9,2021,65.3,2001,72.7,66.4,2001,77.9,2002,70.2,75.6,2002,64,2003,23
29-Jan,71.4,76.7,2002,65.6,2005,72.7,66.9,2001,77.7,2002,70.2,75.7,2002,63.5,2005,24
30-Jan,71.4,76.8,2002,65.2,2005,72.8,66.7,2005,77.7,2002,70.3,75.9,2002,63.9,2005,24
31-Jan,71.5,76.5,2002,65.3,2005,72.8,67.5,2005,77.4,2002,70.3,75.6,2002,64,2005,23
01-Feb,71.5,76.6,2023,66.6,2005,72.8,68.5,2005,77.9,2023,70.3,76.1,2002,64.9,2005,23
02-Feb,71.6,77.1,2023,66.5,2005,72.9,68.4,2005,78.3,2023,70.4,76.3,2023,65.1,2005,23
03-Feb,71.6,77.6,2023,67,2005,72.9,68.7,2005,78.6,2023,70.4,76.8,2023,65.5,1995,23
04-Feb,71.7,76.7,2023,66.3,2005,73,67.5,2005,78.3,2023,70.5,75.4,2023,64.8,2005,23
05-Feb,71.7,75.4,2023,65.5,2005,73,67.6,2005,75.9,2019,70.5,74.8,2023,63,2005,21
06-Feb,71.8,77.2,2014,65.9,1996,73,66.9,1996,78.1,2014,70.6,76.6,2014,64.9,2005,23
07-Feb,71.8,77.7,2014,65.6,2005,73.1,67.1,2005,78.4,2014,70.7,77,2014,64.2,1996,23
08-Feb,71.9,78.2,2014,65.6,2005,73.1,67.8,2005,79.2,2014,70.7,77.5,2014,64.2,1996,23
09-Feb,71.9,77.8,2014,65.7,1995,73.2,67.6,1998,78.6,2014,70.8,77,2014,63.9,1995,23
10-Feb,72,77.1,2014,66,1995,73.3,67.6,2005,78.3,2014,70.9,75.9,2014,64.8,1995,22
11-Feb,72.1,77.5,2014,64.9,2005,73.3,66.7,2005,78.6,2014,70.9,76.6,2014,62.2,2005,21
12-Feb,72.1,77.9,2014,63.6,2005,73.4,66.4,2005,78.6,2021,71,77,2021,60.8,2005,24
13-Feb,72.2,78.7,2021,63.8,2005,73.5,66.4,2005,79.7,2021,71.1,77.7,2021,62.1,2005,22
14-Feb,72.3,79.7,2021,63,2005,73.5,64.8,2005,80.6,2021,71.2,78.8,2021,61.5,2005,22
15-Feb,72.4,80.5,2021,64.3,2005,73.6,66,2005,81.7,2021,71.2,79.7,2021,62.8,2005,23
16-Feb,72.4,80.9,2021,65.1,2005,73.7,66.4,2005,81.7,2021,71.3,80.2,2021,63.7,2005,22
17-Feb,72.5,80.9,2021,65.5,1996,73.7,67.8,2005,81.7,2021,71.4,80.4,2021,63.3,1996,24
18-Feb,72.6,81,2021,65.3,1996,73.8,68.5,2010,82,2021,71.5,80.2,2021,63.3,1996,23
19-Feb,72.7,81.4,2021,65.7,1996,73.9,68,2010,82.4,2021,71.6,80.6,2021,64,1996,23
20-Feb,72.8,80,2020,66.7,1996,74,68.2,1996,81.7,2021,71.7,79.2,2020,63.3,2015,23
21-Feb,72.9,79.2,2020,66.6,2015,74.1,68.7,2005,80.2,2020,71.8,77.5,2020,65.1,2015,23
22-Feb,73,77.7,2023,67.5,2015,74.2,68.9,2015,78.4,2023,71.9,77,2023,66.4,2015,24
23-Feb,73.1,78.1,2023,68.8,2015,74.3,69.8,2015,79.2,2023,72,77.4,2023,67.1,2015,23
24-Feb,73.2,78.4,2023,69.8,1999,74.4,72,2000,79.3,2014,72.1,77.7,2023,67.6,1999,22
25-Feb,73.3,78.8,2023,70.4,1999,74.5,72.3,1999,79.9,2014,72.2,78.1,2023,68.7,1999,23
26-Feb,73.4,79.2,2021,67,2010,74.6,68.2,2010,80.8,2021,72.3,78.4,2023,65.7,2010,23
27-Feb,73.5,79.9,2021,66.7,2010,74.7,67.6,2010,81,2021,72.4,79,2021,66,2010,23
28-Feb,73.7,80.1,2021,66,2010,74.8,67.3,2010,81,2021,72.5,79.2,2021,64.6,2010,23
01-Mar,73.7,80.5,2021,66,2010,74.9,67.6,2010,81.5,2021,72.6,79.5,2021,64.4,2010,23
02-Mar,73.8,81,2021,66.4,2010,75,67.3,2010,82,2021,72.7,80.2,2021,65.7,2010,23
03-Mar,73.9,81.1,2021,65.7,2010,75.1,66.6,2010,81.7,2021,72.8,80.4,2021,64.8,2010,22
04-Mar,74,79.5,2021,65.2,2010,75.2,66.7,2010,80.6,2003,72.9,78.4,2021,63.7,2010,22
05-Mar,74.1,79.9,2003,68.9,2013,75.3,70.9,1996,81.1,2003,73,78.8,2003,67.5,2005,21
06-Mar,74.2,80.4,2003,65.1,2010,75.4,66.9,2010,81.7,2003,73.1,79.2,2003,63.1,2010,22
07-Mar,74.3,81.2,2003,66.5,2010,75.5,68,2010,82.2,2003,73.2,80.6,2003,64,2010,22
08-Mar,74.4,81.7,2003,66.7,2010,75.6,68.4,2010,82.9,2003,73.3,80.8,2003,65.3,2010,22
09-Mar,74.5,81.9,2003,67.5,2010,75.7,68.7,2010,83.1,2003,73.3,81.3,2003,66.6,2010,22
10-Mar,74.6,81.5,2003,68,2010,75.8,69.4,1996,81.9,2003,73.4,81,2003,66.6,1996,22
11-Mar,74.7,81.1,2003,66.6,1996,75.9,68.9,1996,82.2,2003,73.5,80.1,2003,63.5,1996,22
12-Mar,74.8,81.6,2003,67,1996,76,68.4,1996,82.6,2003,73.6,80.6,2003,64.8,1996,21
13-Mar,74.9,82.1,2003,67.9,1996,76.1,69.4,1998,83.3,2003,73.7,81.1,2003,66.4,1998,22
14-Mar,75,82.3,2003,68.6,1996,76.2,70.7,1996,83.5,2003,73.8,81.3,2003,67.1,1996,22
15-Mar,75.1,81.8,2003,69.8,2013,76.3,71.1,2013,82.9,2003,73.9,81,2003,68,2013,22
16-Mar,75.2,81.5,2003,69.5,2010,76.4,70.2,2010,82.6,2003,74,80.4,2003,68.2,2010,22
17-Mar,75.3,80.7,2003,69,2010,76.5,69.8,2010,81.7,2003,74.1,79.9,2003,68.7,2010,23
18-Mar,75.4,80,2003,68.3,2010,76.6,69.3,2010,81.3,2003,74.2,79.3,2001,67.5,2010,22
19-Mar,75.4,81,2003,68.1,2010,76.7,69.6,2010,82.2,2003,74.3,79.5,2003,66.6,2010,23
20-Mar,75.5,81.9,2003,69.3,2010,76.8,70.5,2010,83.3,2003,74.4,80.6,2003,68,2010,23
21-Mar,75.6,82.6,2003,69.2,1996,76.8,70.7,1996,83.5,2003,74.5,81.7,2003,67.3,1996,22
